Name,Size,Speed,Fire Power,Maneuvering,Force Factor
N-1 Starfighter,4,70,5,15,2
Trade Federation Battleship,8,49,8,5,3
Y-Wing Starfighter,5,4,6,15,3
Speeder Bike,1,75,1,19,2
Imperial Shuttle,4,44,1,9,2
B-Wing Starfighter,5,73,6,15,1
Millenium Falcon,6,100,7,20,3
ARC-170,4,77,6,17,1
Republic Gunship,5,58,8,13,2
Sandcrawler,4,40,0,1,2
Death Star,10,50,12,2,4
Droid Tri-Fighter,4,74,7,16,1
Snowspeeder,3,68,2,15,1
Sail Barge,6,41,3,1,1
AT-TE,5,58,7,10,2
Tie Fighter Advanced,4,77,6,17,1
Clone Turbo Tank,6,62,5,13,1
Star Destroyer,8,90,9,5,3
Royal Starship,6,71,0,10,1
Jedi Starfighter,4,70,6,16,1
AT-AT,6,64,8,9,2
X-Wing Starfighter,5,80,6,18,3
Landspeeder,2,52,0,8,1
AT-ST,4,69,5,11,2
Slave l,4,93,7,17,2
Tantive IV,6,60,4,11,2
Droid Starfighter,3,67,5,14,2
Podracer,2,70,0,19,1
Tie Fighter,4,68,2,18,3
